Mr	Edward Garnier	Edward Henry Garnier	Garnier	mr-edward-garnier
Mr	Andrew George	Andrew Henry George	George	mr-andrew-george
Mr	Bruce George	Bruce Thomas George	George	mr-bruce-george
Mr	Neil Gerrard	Neil Francis Gerrard	Gerrard	mr-neil-gerrard
Mr	Nick Gibb	Nicholas Gibb	Gibb	mr-nick-gibb
Dr	Ian Gibson	Ian Gibson	Gibson	dr-ian-gibson
Mr	Christopher Gill	Christopher John Frederick Gill	Gill	mr-christopher-gill
Mrs	Cheryl Gillan	Cheryl Elise Kendall Gillan	Gillan	mrs-cheryl-gillan
Ms	Linda Gilroy	Linda Wade Gilroy	Gilroy	ms-linda-gilroy
Dr	Norman Godman	Norman Anthony Godman	Godman	dr-norman-godman
Mr	Roger Godsiff	Roger Duncan Godsiff	Godsiff	mr-roger-godsiff
Mr	Paul Goggins	Paul Gerard Goggins	Goggins	mr-paul-goggins
Mrs	Llin Golding	Llin Golding	Golding	mrs-llin-golding
Mrs	Eileen Gordon	Eileen Gordon	Gordon	mrs-eileen-gordon
Mrs	Teresa Gorman	Teresa Ellen Gorman	Gorman	mrs-teresa-gorman
Mr	Donald Gorrie	Donald C.E. Gorrie	Gorrie	mr-donald-gorrie
Mr	Tommy Graham	Thomas Graham	Graham	mr-tommy-graham
Mr	James Gray	James Whiteside Gray	Gray	mr-james-gray
Mr	Damian Green	Damian Howard Green	Green	mr-damian-green
Mr	John Greenway	John Robert Greenway	Greenway	mr-john-greenway
Mr	Dominic Grieve	Dominic Charles Roberts Grieve	Grieve	mr-dominic-grieve
Ms	Jane Griffiths	Jane Patricia Griffiths	Griffiths	ms-jane-griffiths
Mr	Nigel Griffiths	Nigel Griffiths	Griffiths	mr-nigel-griffiths
Mr	Win Griffiths	Winston James Griffiths	Griffiths	mr-win-griffiths
Mr	Bruce Grocott	Bruce Joseph Grocott	Grocott	mr-bruce-grocott
Mr	John Grogan	John Timothy Grogan	Grogan	mr-john-grogan
Mr	John Gummer	John Selwyn Gummer	Gummer	mr-john-gummer
Mr	John Gunnell	William John Gunnell	Gunnell	mr-john-gunnell
Mr	William Hague	William Jefferson Hague	Hague	mr-william-hague
Mr	Peter Hain	Peter Gerald Hain	Hain	mr-peter-hain
Mr	Mike Hall	Michael Thomas Hall	Hall	mr-mike-hall
Mr	Patrick Hall	Patrick Hall	Hall	mr-patrick-hall
Sir	Archie Hamilton	Archibald Gavin Hamilton	Hamilton	sir-archie-hamilton
Mr	Fabian Hamilton	Fabian Hamilton	Hamilton	mr-fabian-hamilton
Mr	Philip Hammond	Philip Hammond	Hammond	mr-philip-hammond
Mr	Mike Hancock	Michael Thomas Hancock	Hancock	mr-mike-hancock
Mr	David Hanson	David George Hanson	Hanson	mr-david-hanson
Ms	Harriet Harman	Harriet Ruth Harman	Harman	ms-harriet-harman
Dr	Evan Harris	Evan Leslie Harris	Harris	dr-evan-harris
Mr	Nick Harvey	Nicholas Barton Harvey	Harvey	mr-nick-harvey
Sir	Alan Haselhurst	Alan Gordon Barraclough Haselhurst	Haselhurst	sir-alan-haselhurst
Mr	Nick Hawkins	Nicholas John Hawkins	Hawkins	mr-nick-hawkins
Mr	John Hayes	John Henry Hayes	Hayes	mr-john-hayes
Mrs	Sylvia Heal	Sylvia Lloyd Heal	Heal	mrs-sylvia-heal
Mr	Oliver Heald	Oliver Heald	Heald	mr-oliver-heald
Mr	John Healey	John Healey	Healey	mr-john-healey
Mr	David Heath	David William St John Heath	Heath	mr-david-heath
Mr	Edward Heath	Edward Richard George Heath	Heath	mr-edward-heath
Mr	David Heathcoat-Amory	David Philip Heathcoat-Amory	Heathcoat-Amory	mr-david-heathcoat-amory
Mr	Doug Henderson	Douglas John Henderson	Henderson	mr-doug-henderson
Mr	Ivan Henderson	Ivan John Henderson	Henderson	mr-ivan-henderson
Mr	Stephen Hepburn	Stephen Hepburn	Hepburn	mr-stephen-hepburn
Mr	John Heppell	John Heppell	Heppell	mr-john-heppell
Mr	Michael Heseltine	Michael Ray Dibdin Heseltine	Heseltine	mr-michael-heseltine
Mr	Stephen Hesford	Stephen Hesford	Hesford	mr-stephen-hesford
Ms	Patricia Hewitt	Patricia Hope Hewitt	Hewitt	ms-patricia-hewitt
Mr	Keith Hill	Trevor Keith Hill	Hill	mr-keith-hill
Mr	David Hinchliffe	David Martin Hinchliffe	Hinchliffe	mr-david-hinchliffe
Mrs	Margaret Hodge	Margaret Eve Hodge	Hodge	mrs-margaret-hodge
Ms	Kate Hoey	Catherine Letitia Hoey	Hoey	ms-kate-hoey
Mr	Douglas Hogg	Douglas Martin Hogg	Hogg	mr-douglas-hogg
Mr	John Home Robertson	John David Home Robertson	Home Robertson	mr-john-home-robertson
Mr	Jimmy Hood	James Hood	Hood	mr-jimmy-hood
Mr	Geoff Hoon	Geoffrey Hoon	Hoon	mr-geoff-hoon
Mr	Phil Hope	Philip Hope	Hope	mr-phil-hope
Mr	Kelvin Hopkins	Kelvin Peter Hopkins	Hopkins	mr-kelvin-hopkins
Mr	John Horam	John Rhodes Horam	Horam	mr-john-horam
Mr	Michael Howard	Michael Howard	Howard	mr-michael-howard
Mr	Alan Howarth	Alan Thomas Howarth	Howarth	mr-alan-howarth
Mr	George Howarth	George Edward Howarth	Howarth	mr-george-howarth
Mr	Gerald Howarth	James Gerald Douglas Howarth	Howarth	mr-gerald-howarth
Dr	Kim Howells	Kim Scott Howells	Howells	dr-kim-howells
Mr	Lindsay Hoyle	Lindsay Harvey Hoyle	Hoyle	mr-lindsay-hoyle
