Hon.	Arthur Hood	Arthur Wellington Alexander Ne Hood	Hood	hon-arthur-hood
Mr	John Hooper	John Hooper	Hooper	mr-john-hooper
Mr	William Campbell	William Frederick Campbell	Campbell	mr-william-campbell
Sir	Alfred Hopkinson	Alfred Hopkinson	Hopkinson	sir-alfred-hopkinson
Mr	Charles Hopwood	Charles Henry Hopwood	Hopwood	mr-charles-hopwood
Mr	William Hornby	William Henry Hornby	Hornby	mr-william-hornby
Mr	Edward Horsman	Edward Horsman	Horsman	mr-edward-horsman
Hon.	Charles Howard	Charles Wentworth George Howard	Howard	hon-charles-howard
Mr	Edward Howard	Edward Stafford Howard	Howard	mr-edward-howard
Mr	Henry Howard	Henry Charles Howard	Howard	mr-henry-howard
Mr	James Howard	James Howard	Howard	mr-james-howard
Mr	John Howard	John Morgan Howard	Howard	mr-john-howard
Mr	William Howell	William Tudor Howell	Howell	mr-william-howell
Mr	Henry Howorth	Henry Hoyle Howorth	Howorth	mr-henry-howorth
Mr	George Howell	George Howell	Howell	mr-george-howell
Mr	Edward Howes	Edward Howes	Howes	mr-edward-howes
Mr	Isaac Hoyle	Isaac Hoyle	Hoyle	mr-isaac-hoyle
Mr	Egerton Hubbard	Egerton Hubbard	Hubbard	mr-egerton-hubbard
Mr	John Hubbard	John Gellibrand Hubbard	Hubbard	mr-john-hubbard
Sir	John Huddleston	John Walter Huddleston	Huddleston	sir-john-huddleston
Mr	Thomas Hughes	Thomas Hughes	Hughes	mr-thomas-hughes
Mr	William Hughes	William Bulkeley Hughes	Hughes	mr-william-hughes
Mr	Francis Hughes-Hallett	Francis Charles Hughes-Hallett	Hughes-Hallett	mr-francis-hughes-hallett
Sir	Edward Hulse	Edward Henry Hulse	Hulse	sir-edward-hulse
Mr	George Hunt	George Ward Hunt	Hunt	mr-george-hunt
Mr	William Hunter	William Alexander Hunter	Hunter	mr-william-hunter
Sir	William Hunter	William Guyer Hunter	Hunter	sir-william-hunter
Mr	Charles Huntington	Charles Philip Huntington	Huntington	mr-charles-huntington
Mr	Robert Hurst	Robert Henry Hurst	Hurst	mr-robert-hurst
Mr	John Husband	John Husband	Husband	mr-john-husband
Mr	John Hutchinson	John Dyson Hutchinson	Hutchinson	mr-john-hutchinson
Sir	William Hutt	William Hutt	Hutt	sir-william-hutt
Mr	James Hutton	James Frederick Hutton	Hutton	mr-james-hutton
Mr	Samuel Carter	Samuel Carter	Carter	mr-samuel-carter
Mr	William Vernon-Harcourt	William George Granville Venables Vernon-Harcourt	Vernon-Harcourt	mr-william-vernon-harcourt
Mr	Alfred Illingworth	Alfred Illingworth	Illingworth	mr-alfred-illingworth
Mr	Henry Ince	Henry Brett Ince	Ince	mr-henry-ince
Mr	Frederick Inderwick	Frederick Andrew Inderwick	Inderwick	mr-frederick-inderwick
Mr	Hugh Ingram	Hugh Francis Meynell Ingram	Ingram	mr-hugh-ingram
Sir	William Ingram	William James Ingram	Ingram	sir-william-ingram
Mr	Saul Isaac	Saul Isaac	Isaac	mr-saul-isaac
Mr	Lewis Isaacs	Lewis Henry Isaacs	Isaacs	mr-lewis-isaacs
Mr	Frederick Isaacson	Frederick Wootton Isaacson	Isaacson	mr-frederick-isaacson
Mr	William Jacks	William Jacks	Jacks	mr-william-jacks
Mr	Henry Jackson	Henry Mather Jackson	Jackson	mr-henry-jackson
Mr	Ralph Jackson	Ralph Ward Jackson	Jackson	mr-ralph-jackson
Mr	Charles James	Charles Herbert James	James	mr-charles-james
Mr	Henry James	Henry James	James	mr-henry-james
Hon.	Walter James	Walter Henry James	James	hon-walter-james
Sir	Robert Jardine	Robert Jardine	Jardine	sir-robert-jardine
Mr	Alexander Jarvis	Alexander Weston Jarvis	Jarvis	mr-alexander-jarvis
Mr	David Jenkins	David James Jenkins	Jenkins	mr-david-jenkins
Mr	Edward Jenkins	Edward Jenkins	Jenkins	mr-edward-jenkins
Sir	John Jenkins	John Jones Jenkins	Jenkins	sir-john-jenkins
Sir	George Jenkinson	George Samuel Jenkinson	Jenkinson	sir-george-jenkinson
Mr	Louis Jennings	Louis John Jennings	Jennings	mr-louis-jennings
Sir	George Jessel	George Jessel	Jessel	sir-george-jessel
Mr	Jasper Johns	Jasper Wilson Johns	Johns	mr-jasper-johns
Mr	Edward Johnson	Edward Johnson	Johnson	mr-edward-johnson
Mr	John Johnson	John George Johnson	Johnson	mr-john-johnson
Mr	William Johnson	William Moore Johnson	Johnson	mr-william-johnson
Mr	Jabez Johnson-Ferguson	Jabez Edward Johnson-Ferguson	Johnson-Ferguson	mr-jabez-johnson-ferguson
Mr	Andrew Johnston	Andrew Johnston	Johnston	mr-andrew-johnston
Sir	Frederick Johnstone	Frederick John William Johnstone	Johnstone	sir-frederick-johnstone
Sir	Harcourt Johnstone	Harcourt Vanden Bempde Johnstone	Johnstone	sir-harcourt-johnstone
Sir	John Johnstone	John Vanden Bempde Johnstone	Johnstone	sir-john-johnstone
Mr	John Joicey	John Joicey	Joicey	mr-john-joicey
Hon.	William Jolliffe	William Sydney Hylton Jolliffe	Jolliffe	hon-william-jolliffe
Mr	Evan Jones	Evan Rowland Jones	Jones	mr-evan-jones
Mr	John Jones	John Jones	Jones	mr-john-jones
Mr	Thomas Jones-Parry	Thomas Love Duncombe Jones-Parry	Jones-Parry	mr-thomas-jones-parry
Mr	Henri Josse	Henri Josse	Josse	mr-henri-josse
Sir	John Karslake	John Burgess Karslake	Karslake	sir-john-karslake
Mr	Arthur Kavanagh	Arthur MacMurrough Kavanagh	Kavanagh	mr-arthur-kavanagh
Mr	John Keay	John Seymour Keay	Keay	mr-john-keay
Mr	Samuel Kekewich	Samuel Trehawke Kekewich	Kekewich	mr-samuel-kekewich
Mr	Bernard Kelly	Bernard Kelly	Kelly	mr-bernard-kelly
Mr	John Kelly	John Richards Kelly	Kelly	mr-john-kelly
Mr	Edward Kennard	Edward Hegan Kennard	Kennard	mr-edward-kennard
Mr	Edward Kennedy	Edward Joseph Kennedy	Kennedy	mr-edward-kennedy
Mr	Courtney Kenny	Courtney Stanhope Kenny	Kenny	mr-courtney-kenny
Mr	Joseph Kenny	Joseph Edward Kenny	Kenny	mr-joseph-kenny
Mr	Matthew Kenny	Matthew Joseph Kenny	Kenny	mr-matthew-kenny
Mr	William Kenny	William Kenny	Kenny	mr-william-kenny
Mr	William Kenrick	William Kenrick	Kenrick	mr-william-kenrick
Mr	William Keown	William Keown	Keown	mr-william-keown
Mr	Richard Ker	Richard William Blackwood Ker	Ker	mr-richard-ker
Mr	Frederick Kerans	Frederick Harold Kerans	Kerans	mr-frederick-kerans
Sir	Walter Townsend-Farquhar	Walter Minto Townsend-Farquhar	Townsend-Farquhar	sir-walter-townsend-farquhar
Mr	Peter King	Peter John Locke King	King	mr-peter-king
Mr	Edward King-Harman	Edward Robert King-Harman	King-Harman	mr-edward-king-harman
Mr	John Kinglake	John Alexander Kinglake	Kinglake	mr-john-kinglake
Mr	Robert Kingscote	Robert Nigel Fitzhardinge Kingscote	Kingscote	mr-robert-kingscote
Hon.	Arthur Kinnaird	Arthur Fitzgerald Kinnaird	Kinnaird	hon-arthur-kinnaird
Reverend	John Kinnear	John Boyd Kinnear	Kinnear	reverend-john-kinnear
Mr	John Kinnear	John Boyd Kinnear	Kinnear	mr-john-kinnear
Mr	George Kirk	George Harley Kirk	Kirk	mr-george-kirk
Mr	William Kirk	William Kirk	Kirk	mr-william-kirk
Mr	Albert Kitching	Albert George Kitching	Kitching	mr-albert-kitching
Mr	Edward Knatchbull-Hugessen	Edward Hugessen Knatchbull-Hugessen	Knatchbull-Hugessen	mr-edward-knatchbull-hugessen
Mr	Herbert Knatchbull-Hugessen	Herbert Thomas Knatchbull-Hugessen	Knatchbull-Hugessen	mr-herbert-knatchbull-hugessen
Mr	Frederick Knight	Fredericc Winn Knight	Knight	mr-frederick-knight
Sir	Rainald Knightley	Rainald Knightley	Knightley	sir-rainald-knightley
Mr	Thomas Knowles	Thomas Knowles	Knowles	mr-thomas-knowles
Mr	Edmund Knox	Edmund Francis Vesey Knox	Knox	mr-edmund-knox
Mr	Lawrence Knox	Lawrence Edward Knox	Knox	mr-lawrence-knox
Hon.	William Knox	William Stuart Knox	Knox	hon-william-knox
Mr	George Kynoch	George Kynoch	Kynoch	mr-george-kynoch
Mr	Charles Lacaita	Charles Carmichael Lacaita	Lacaita	mr-charles-lacaita
Sir	Edmund Lacon	Edmund Henry Knowles Lacon	Lacon	sir-edmund-lacon
Mr	Alfred Lafone	Alfred Lafone	Lafone	mr-alfred-lafone
Mr	Samuel Laing	Samuel Laing	Laing	mr-samuel-laing
Mr	John Laird	John Laird	Laird	mr-john-laird
Mr	Richard Lalor	Richard G. Lalor	Lalor	mr-richard-lalor
Mr	Isaac Lambert	Isaac Cowley Lambert	Lambert	mr-isaac-lambert
Mr	Nathaniel Lambert	Nathaniel Grace Lambert	Lambert	mr-nathaniel-lambert
Mr	John Lancaster	John Lancaster	Lancaster	mr-john-lancaster
Mr	William Lane	William John Lane	Lane	mr-william-lane
Mr	William Laslett	William Laslett	Laslett	mr-william-laslett
Mr	George Latham	George William Latham	Latham	mr-george-latham
Mr	Robert Laurie	Robert Peter Laurie	Laurie	mr-robert-laurie
Mr	Abraham Laverton	Abraham Laverton	Laverton	mr-abraham-laverton
Mr	Hugh Law	Hugh Law	Law	mr-hugh-law
Hon.	Beilby Lawley	Beilby Lawley	Lawley	hon-beilby-lawley
Mr	John Lawrance	John Compton Lawrance	Lawrance	mr-john-lawrance
Sir	James Lawrence	James Clark Lawrence	Lawrence	sir-james-lawrence
Sir	James Lawrence	James John Trevor Lawrence	Lawrence	sir-james-lawrence-1
Mr	William Lawrence	William Lawrence	Lawrence	mr-william-lawrence-1
Mr	Austen Layard	Austen Henry Layard	Layard	mr-austen-layard
Mr	Robert Laycock	Robert Laycock	Laycock	mr-robert-laycock
Sir	Thomas Lea	Thomas Lea	Lea	sir-thomas-lea
Mr	James Leahy	James Leahy	Leahy	mr-james-leahy
Mr	Robert Leake	Robert Leake	Leake	mr-robert-leake
Mr	Alexander Learmonth	Alexander Learmonth	Learmonth	mr-alexander-learmonth
Mr	Edward Leatham	Edward Aldam Leatham	Leatham	mr-edward-leatham
Mr	William Leatham	William Henry Leatham	Leatham	mr-william-leatham
Sir	Edmund Lechmere	Edmund Anthony Harley Lechmere	Lechmere	sir-edmund-lechmere
Mr	Henry Lee	Henry Lee	Lee	mr-henry-lee
Mr	William Lee	William Lee	Lee	mr-william-lee
Mr	George Leeman	George Leeman	Leeman	mr-george-leeman
Mr	Joseph Leeman	Joseph Johnson Leeman	Leeman	mr-joseph-leeman
Mr	Anthony Lefroy	Anthony Lefroy	Lefroy	mr-anthony-lefroy
Sir	Charles Legard	Charles Legard	Legard	sir-charles-legard
Mr	George Legh	George Cornwall Legh	Legh	mr-george-legh
Mr	Thomas Legh	Thomas Wodehouse Legh	Legh	mr-thomas-legh
Mr	William Legh	William John Legh	Legh	mr-william-legh
Mr	Joseph Leicester	Joseph Lynn Leicester	Leicester	mr-joseph-leicester
Mr	Egerton Leigh	Egerton Leigh	Leigh	mr-egerton-leigh
Hon.	Gilbert Leigh	Gilbert Henry Chandos Leigh	Leigh	hon-gilbert-leigh
Mr	Roger Leigh	Roger Leigh	Leigh	mr-roger-leigh
Sir	Baldwyn Leighton	Baldwyn Leighton	Leighton	sir-baldwyn-leighton
Mr	John Leith	John Farley Leith	Leith	mr-john-leith
Mr	Herbert Leon	Herbert Samuel Leon	Leon	mr-herbert-leon
Mr	Charles Leslie	Charles Powell Leslie	Leslie	mr-charles-leslie
Sir	John Leslie	John Leslie	Leslie	sir-john-leslie
Sir	Roper Lethbridge	Roper Lethbridge	Lethbridge	sir-roper-lethbridge
Mr	Thomas Leuty	Thomas Richard Leuty	Leuty	mr-thomas-leuty
Mr	John Lever	John Orrell Lever	Lever	mr-john-lever
Hon.	Frederick Leveson-Gower	Edward Fredericc Leveson-Gower	Leveson-Gower	hon-frederick-leveson-gower
Mr	George Leveson-Gower	George Granville Leveson-Gower	Leveson-Gower	mr-george-leveson-gower
Lord	Ronald Leveson-Gower	Ronald Charles Sutherland Leveson-Gower	Leveson-Gower	lord-ronald-leveson-gower
Mr	Theophilus Levett	Theophilus John Levett	Levett	mr-theophilus-levett
Sir	Charles Lewis	Charles Edward Lewis	Lewis	sir-charles-lewis
Mr	Henry Lewis	Henry Owen Lewis	Lewis	mr-henry-lewis
Mr	John Lewis	John Delaware Lewis	Lewis	mr-john-lewis-1
Mr	John Lewis	John Harvey Lewis	Lewis	mr-john-lewis-2
Mr	Thomas Lewis	Thomas Lewis	Lewis	mr-thomas-lewis
Viscount	 Lewisham	William Heneage Legge Lewisham	Lewisham	viscount-lewisham
Hon.	Henry Liddell	Henry George Liddell	Liddell	hon-henry-liddell
Hon.	Charles Lindsay	Charles Hugh Lindsay	Lindsay	hon-charles-lindsay
Lord	 Lindsay	James Ludovic Lindsay	Lindsay	lord-lindsay
Sir	Robert Lindsay	Robert Lloyd Lindsay	Lindsay	sir-robert-lindsay
Mr	Thomas Little	Thomas Shepherd Little	Little	mr-thomas-little
Mr	Edward Litton	Edward Falconer Litton	Litton	mr-edward-litton
Mr	Morgan Lloyd	Morgan Lloyd	Lloyd	mr-morgan-lloyd
Mr	Sampson Lloyd	Sampson Samuel Lloyd	Lloyd	mr-sampson-lloyd
Sir	Thomas Lloyd	Thomas Davies Lloyd	Lloyd	sir-thomas-lloyd
Mr	Thomas Lloyd	Thomas Edward Lloyd	Lloyd	mr-thomas-lloyd
Mr	Wilson Lloyd	Wilson Lloyd	Lloyd	mr-wilson-lloyd
Mr	Robert Lloyd-Anstruther	Robert Hamilton Lloyd-Anstruther	Lloyd-Anstruther	mr-robert-lloyd-anstruther
Mr	George Loch	George Loch	Loch	mr-george-loch
Mr	John Locke	John Locke	Locke	mr-john-locke
Sir	Frank Lockwood	Frank Lockwood	Lockwood	sir-frank-lockwood
Mr	Robert Loder	Robert Loder	Loder	mr-robert-loder
Mr	Henry Lopes	Henry Charles Lopes	Lopes	mr-henry-lopes
Mr	Henry Lopes	Henry Yarde Buller Lopes	Lopes	mr-henry-lopes-1
Sir	Massey Lopes	Massey Lopes	Lopes	sir-massey-lopes
Marquess of	 Lorne	John Douglas Sutherland Lorne	Lorne	marquess-of-lorne
Mr	William Low	William Malcolm Low	Low	mr-william-low
Mr	Robert Lowe	Robert Lowe	Lowe	mr-robert-lowe
Mr	John Lowles	John Lowles	Lowles	mr-john-lowles
Mr	Henry Lowry-Corry	Henry Thomas Lowry-Corry	Lowry-Corry	mr-henry-lowry-corry
Mr	Henry Lowry-Corry	Henry William Lowry-Corry	Lowry-Corry	mr-henry-lowry-corry-1
Mr	Henry Lowther	Henry Lowther	Lowther	mr-henry-lowther
Hon.	William Lowther	William Lowther	Lowther	hon-william-lowther
Mr	Lewis Loyd	Lewis Vivian Loyd	Loyd	mr-lewis-loyd
Sir	John Lubbock	John Lubbock	Lubbock	sir-john-lubbock
Mr	William Lucas-Shadwell	William Lucas-Shadwell	Lucas-Shadwell	mr-william-lucas-shadwell
Mr	John Lush	John Alfred Lush	Lush	mr-john-lush
Sir	Andrew Lusk	Andrew Lusk	Lusk	sir-andrew-lusk
Sir	Leonard Lyell	Leonard Lyell	Lyell	sir-leonard-lyell
Viscount	 Lymington	Newton Wallop Lymington	Lymington	viscount-lymington
Mr	Robert Lyons	Robert Dyer Lyons	Lyons	mr-robert-lyons
Hon.	Charles Lyttelton	Charles George Lyttelton	Lyttelton	hon-charles-lyttelton
Mr	Alexander McArthur	Alexander McArthur	McArthur	mr-alexander-mcarthur
Mr	Daniel MacAleese	Daniel MacAleese	MacAleese	mr-daniel-macaleese
Sir	William McArthur	William McArthur	McArthur	sir-william-mcarthur
Major-General	Hugh McCalmont	Hugh McCalmont	McCalmont	major-general-hugh-mccalmont
Mr	John McCarthy	John George McCarthy	McCarthy	mr-john-mccarthy
Mr	Justin McCarthy	Justin McCarthy	McCarthy	mr-justin-mccarthy
Mr	Justin McCarthy	Justin Huntly McCarthy	McCarthy	mr-justin-mccarthy-1
Sir	Thomas McClure	Thomas McClure	McClure	sir-thomas-mcclure
Mr	James McCoan	James Carlile McCoan	McCoan	mr-james-mccoan
Mr	William McCombie	William McCombie	McCombie	mr-william-mccombie
Mr	John McCulloch	John McCulloch	McCulloch	mr-john-mcculloch
Mr	Alexander Macdonald	Alexander Macdonald	Macdonald	mr-alexander-macdonald
Mr	John Macdonald	John Hay Athole Macdonald	Macdonald	mr-john-macdonald
Mr	Peter McDonald	Peter McDonald	McDonald	mr-peter-mcdonald
Dr	Roderick Macdonald	Roderick Macdonald	Macdonald	dr-roderick-macdonald
Mr	William Macdonald	William Archibald Macdonald	Macdonald	mr-william-macdonald
Viscount	 Macduff	Alexander William George Macduff	Macduff	viscount-macduff
Mr	Edward MacEvoy	Edward MacEvoy	MacEvoy	mr-edward-macevoy
Viscount	 Kilcoursie	Frederick Edward Gould Kilcoursie	Kilcoursie	viscount-kilcoursie
Sir	Donald Macfarlane	Donald Horne Macfarlane	Macfarlane	sir-donald-macfarlane
Mr	Robert Macfie	Robert Andrew Macfie	Macfie	mr-robert-macfie
Sir	James McGarel-Hogg	James Macnaghten McGarel-Hogg	McGarel-Hogg	sir-james-mcgarel-hogg
Mr	Patrick McGilligan	Patrick McGilligan	McGilligan	mr-patrick-mcgilligan
Dr	Donald Macgregor	Donald Macgregor	Macgregor	dr-donald-macgregor
Mr	Donald Macgregor	Donald Robert Macgregor	Macgregor	mr-donald-macgregor
Mr	Benjamin Chapman	Benjamin James Chapman	Chapman	mr-benjamin-chapman
Mr	Miles MacInnes	Miles MacInnes	MacInnes	mr-miles-macinnes
Mr	Aeneas McIntyre	Aeneas John McIntyre	McIntyre	mr-aeneas-mcintyre
Sir	Joseph McKenna	Joseph Neale McKenna	McKenna	sir-joseph-mckenna
Mr	Robert Mackie	Robert Bownas Mackie	Mackie	mr-robert-mackie
Mr	Aeneas Mackintosh	Aeneas William Mackintosh	Mackintosh	mr-aeneas-mackintosh
Mr	Peter McLagan	Peter McLagan	McLagan	mr-peter-mclagan
Mr	Duncan McLaren	Duncan McLaren	McLaren	mr-duncan-mclaren
Mr	John McLaren	John McLaren	McLaren	mr-john-mclaren
Mr	Francis Maclean	Francis William Maclean	Maclean	mr-francis-maclean
Mr	James Maclean	James Mackenzie Maclean	Maclean	mr-james-maclean
Mr	John McClean	John Robinson McClean	McClean	mr-john-mcclean
Mr	John MacLeod	John MacLeod	MacLeod	mr-john-macleod
Mr	Peter Macliver	Peter Stewart Macliver	Macliver	mr-peter-macliver
Mr	Patrick McMahon	Patrick McMahon	McMahon	mr-patrick-mcmahon
Mr	John McMinnies	John Gordon McMinnies	McMinnies	mr-john-mcminnies
Mr	Edward Macnaghten	Edward Macnaghten	Macnaghten	mr-edward-macnaghten
Mr	Hedges Chatterton	Hedges Eyre Chatterton	Chatterton	mr-hedges-chatterton
Mr	John Maden	John Henry Maden	Maden	mr-john-maden
Mr	Charles Magniac	Charles Magniac	Magniac	mr-charles-magniac
Mr	James Maguire	James Rochfort Maguire	Maguire	mr-james-maguire
Mr	John Maguire	John Francis Maguire	Maguire	mr-john-maguire
Mr	James Melville	James Benjamin Melville	Melville	mr-james-melville
The	 O'Gorman Mahon	James Patrick O'Gorman O'Gorman Mahon	O'Gorman Mahon	the-ogorman-mahon
Mr	Pierre Mahony	Pierre Charles de Lacy Mahony	Mahony	mr-pierre-mahony
Mr	John Mains	John Mains	Mains	mr-john-mains
Mr	John Maitland	John Maitland	Maitland	mr-john-maitland
Mr	Lewis Majendie	Lewis Ashurst Majendie	Majendie	mr-lewis-majendie
Sir	William Makins	William Thomas Makins	Makins	sir-william-makins
Mr	John Malcolm	John Wingfield Malcolm	Malcolm	mr-john-malcolm
Mr	Richard Mallock	Richard Mallock	Mallock	mr-richard-mallock
Mr	Frank Mandeville	Francis Mandeville	Mandeville	mr-frank-mandeville
Sir	Moses Manfield	Moses Philip Manfield	Manfield	sir-moses-manfield
Lord	Edward Manners	Edward William John Manners	Manners	lord-edward-manners
Lord	George Manners	George John Manners	Manners	lord-george-manners
Lord	John Manners	John James Robert Manners	Manners	lord-john-manners
Hon.	William Cavendish	William George Cavendish	Cavendish	hon-william-cavendish
Earl of	 March	Charles Henry March	March	earl-of-march
Sir	Dudley Marjoribanks	Dudley Coutts Marjoribanks	Marjoribanks	sir-dudley-marjoribanks
Mr	Edward Marjoribanks	Edward Marjoribanks	Marjoribanks	mr-edward-marjoribanks
Sir	Samuel Marling	Samuel Stevens Marling	Marling	sir-samuel-marling
Sir	William Marriott	William Thackeray Marriott	Marriott	sir-william-marriott
Mr	Alfred Marten	Alfred George Marten	Marten	mr-alfred-marten
Mr	John Martin	John Martin	Martin	mr-john-martin
Mr	Patrick Martin	Patrick Leopold Martin	Martin	mr-patrick-martin
Mr	George Marton	George Heneage Marton	Marton	mr-george-marton
Mr	Edward Marum	Edward Purcell Mulhallen Marum	Marum	mr-edward-marum
Mr	Stephen Mason	Stephen Mason	Mason	mr-stephen-mason
Mr	Hugh Mason	Hugh Mason	Mason	mr-hugh-mason
Mr	William Massey	William Nathiental Massey	Massey	mr-william-massey
Sir	Alexander Matheson	Alexander Matheson	Matheson	sir-alexander-matheson
Mr	Henry Matthews	Henry Matthews	Matthews	mr-henry-matthews
Mr	Wellwood Maxwell	Wellwood Herries Maxwell	Maxwell	mr-wellwood-maxwell
Mr	Richard Mayne	Richard Charles Mayne	Mayne	mr-richard-mayne
Mr	Thomas Mayne	Thomas Mayne	Mayne	mr-thomas-mayne
Mr	Charles Meldon	Charles Henry Meldon	Meldon	mr-charles-meldon
Mr	Walter Meller	Walter Meller	Meller	mr-walter-meller
Mr	John Mellor	John James Mellor	Mellor	mr-john-mellor-1
Mr	Thomas Mellor	Thomas Walton Mellor	Mellor	mr-thomas-mellor
Mr	George Melly	George Melly	Melly	mr-george-melly
Mr	Robert Menzies	Robert Stewart Menzies	Menzies	mr-robert-menzies
Mr	James Merry	James Merry	Merry	mr-james-merry
Mr	Robert Metge	Robert Henry Metge	Metge	mr-robert-metge
Mr	Thomas Meyrick	Thomas Charlton Meyrick	Meyrick	mr-thomas-meyrick
Mr	Edward Miall	Edward Miall	Miall	mr-edward-miall
Sir	Arthur Monck	Arthur Edward Monck	Monck	sir-arthur-monck
Mr	Robert Middleton	Robert Tweedie Middleton	Middleton	mr-robert-middleton
Sir	Frederick Milbank	Frederick Acclom Milbank	Milbank	sir-frederick-milbank
Mr	Powlett Milbank	Powlett Charles John Milbank	Milbank	mr-powlett-milbank
Sir	Philip Miles	Philip John William Miles	Miles	sir-philip-miles
Mr	John Miller	John Miller	Miller	mr-john-miller
Hon.	George Milles	George Watson Milles	Milles	hon-george-milles
Mr	Arthur Mills	Arthur Mills	Mills	mr-arthur-mills
Sir	Charles Mills	Charles Henry Mills	Mills	sir-charles-mills
Hon.	Charles Mills	Charles William Mills	Mills	hon-charles-mills
Viscount	William Milton	William Milton	Milton	viscount-william-milton
Mr	Victor Milward	Victor Milward	Milward	mr-victor-milward
Mr	Thomas Mitchell	Thomas Alexander Mitchell	Mitchell	mr-thomas-mitchell
Mr	William Mitford	William Townley Mitford	Mitford	mr-william-mitford
Mr	Walter Molesworth-St Aubyn	Walter Napleton Molesworth-St Aubyn	Molesworth-St Aubyn	mr-walter-molesworth-st-aubyn
Mr	Bernard Molloy	Bernard Charles Molloy	Molloy	mr-bernard-molloy
Mr	James Moncreiff	James Moncreiff	Moncreiff	mr-james-moncreiff
Mr	Edward Monckton	Edward Philip Monckton	Monckton	mr-edward-monckton
Mr	Francis Monckton	Francis Monckton	Monckton	mr-francis-monckton
Mr	Charles Monk	Charles James Monk	Monk	mr-charles-monk
Mr	William Monsell	William Monsell	Monsell	mr-william-monsell
Lord	Robert Montagu	Robert Montagu	Montagu	lord-robert-montagu
Mr	Samuel Montagu	Samuel Montagu	Montagu	mr-samuel-montagu
Mr	Roger Montgomerie	Roger Montgomerie	Montgomerie	mr-roger-montgomerie
Count	Arthur Moore	Arthur John Moore	Moore	count-arthur-moore
Mr	Charles Moore	Charles Moore	Moore	mr-charles-moore
Mr	George Moore	George Henry Moore	Moore	mr-george-moore
Mr	James Moorsom	James Marshall Moorsom	Moorsom	mr-james-moorsom
Lord	 Moreton	Henry Haughton Reynolds Moreton Moreton	Moreton	lord-moreton
Mr	Charles Morgan	Charles Octavius Swinnerton Morgan	Morgan	mr-charles-morgan
Mr	George Morgan	George Osborne Morgan	Morgan	mr-george-morgan
Hon.	Godfrey Morgan	Godfrey Charles Morgan	Morgan	hon-godfrey-morgan
Mr	Octavius Morgan	Octavius Vaughan Morgan	Morgan	mr-octavius-morgan
Mr	William Morgan	William Pritchard Morgan	Morgan	mr-william-morgan
